Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
E0,19/08/1995,Arsenal,Coventry,0,3,A,,,,1993-94
E0,19/08/1995,Aston Villa,QPR,4,1,H,,,,1993-94
E0,19/08/1995,Chelsea,Blackburn,1,2,A,,,,1993-94
E0,19/08/1995,Liverpool,Sheffield Weds,2,0,H,,,,1993-94
E0,19/08/1995,Man City,Leeds,1,1,D,,,,1993-94
E0,19/08/1995,Newcastle,Tottenham,0,1,A,,,,1993-94
E0,19/08/1995,Oldham,Ipswich,0,3,A,,,,1993-94
E0,19/08/1995,Sheffield United,Swindon,3,1,H,,,,1993-94
E0,19/08/1995,Southampton,Everton,0,2,A,,,,1993-94
E0,20/08/1995,West Ham,Wimbledon,0,2,A,,,,1993-94
E0,21/08/1995,Norwich,Man United,0,2,A,,,,1993-94
E0,22/08/1995,Tottenham,Arsenal,0,1,A,,,,1993-94
E0,23/08/1995,Everton,Man City,1,0,H,,,,1993-94
E0,23/08/1995,Ipswich,Southampton,1,0,H,,,,1993-94
E0,23/08/1995,Leeds,West Ham,1,0,H,,,,1993-94
E0,23/08/1995,Wimbledon,Chelsea,1,1,D,,,,1993-94
E0,23/08/1995,Blackburn,Norwich,2,3,A,,,,1993-94
E0,23/08/1995,Coventry,Newcastle,2,1,H,,,,1993-94
E0,23/08/1995,Man United,Sheffield United,3,0,H,,,,1993-94
E0,26/08/1995,QPR,Liverpool,1,3,A,,,,1993-94
E0,26/08/1995,Sheffield Weds,Aston Villa,0,0,D,,,,1993-94
E0,26/08/1995,Swindon,Oldham,0,1,A,,,,1993-94
E0,26/08/1995,Blackburn,Oldham,1,0,H,,,,1993-94
E0,26/08/1995,Coventry,West Ham,1,1,D,,,,1993-94
E0,26/08/1995,Everton,Sheffield United,4,2,H,,,,1993-94
E0,26/08/1995,Ipswich,Chelsea,1,0,H,,,,1993-94
E0,26/08/1995,Leeds,Norwich,0,4,A,,,,1993-94
E0,26/08/1995,Man United,Newcastle,1,1,D,,,,1993-94
E0,27/08/1995,QPR,Southampton,2,1,H,,,,1993-94
E0,28/08/1995,Sheffield Weds,Arsenal,0,1,A,,,,1993-94
E0,29/08/1995,Tottenham,Man City,1,0,H,,,,1993-94
E0,30/08/1995,Wimbledon,Aston Villa,2,2,D,,,,1993-94
E0,30/08/1995,Swindon,Liverpool,0,5,A,,,,1993-94
E0,30/08/1995,Aston Villa,Man United,1,2,A,,,,1993-94
E0,30/08/1995,Arsenal,Leeds,2,1,H,,,,1993-94
E0,30/08/1995,Man City,Blackburn,0,2,A,,,,1993-94
E0,30/08/1995,Oldham,Coventry,3,3,D,,,,1993-94
E0,30/08/1995,Sheffield United,Wimbledon,2,1,H,,,,1993-94
E0,30/08/1995,Chelsea,QPR,2,0,H,,,,1993-94
E0,09/09/1995,Liverpool,Tottenham,1,2,A,,,,1993-94
E0,09/09/1995,Newcastle,Everton,1,0,H,,,,1993-94
E0,09/09/1995,Norwich,Ipswich,1,0,H,,,,1993-94
E0,09/09/1995,Southampton,Swindon,5,1,H,,,,1993-94
E0,09/09/1995,West Ham,Sheffield Weds,2,0,H,,,,1993-94
E0,09/09/1995,Man City,Coventry,1,1,D,,,,1993-94
E0,09/09/1995,Arsenal,Everton,2,0,H,,,,1993-94
E0,09/09/1995,Aston Villa,Tottenham,1,0,H,,,,1993-94
E0,10/09/1995,Chelsea,Sheffield Weds,1,1,D,,,,1993-94
E0,11/09/1995,Liverpool,Leeds,2,0,H,,,,1993-94
E0,12/09/1995,Norwich,Swindon,0,0,D,,,,1993-94
E0,16/09/1995,Oldham,Wimbledon,1,1,D,,,,1993-94
E0,16/09/1995,Sheffield United,Ipswich,1,1,D,,,,1993-94
E0,16/09/1995,Southampton,Man United,1,3,A,,,,1993-94
E0,16/09/1995,West Ham,QPR,0,4,A,,,,1993-94
E0,16/09/1995,Newcastle,Blackburn,1,1,D,,,,1993-94
E0,16/09/1995,Leeds,Oldham,1,0,H,,,,1993-94
E0,16/09/1995,Everton,Aston Villa,0,1,A,,,,1993-94
E0,16/09/1995,Ipswich,Newcastle,1,1,D,,,,1993-94
E0,16/09/1995,Wimbledon,Southampton,1,0,H,,,,1993-94
E0,17/09/1995,Blackburn,Arsenal,1,1,D,,,,1993-94
E0,23/09/1995,Coventry,Liverpool,1,0,H,,,,1993-94
E0,23/09/1995,Man United,West Ham,3,0,H,,,,1993-94
E0,23/09/1995,QPR,Sheffield United,2,1,H,,,,1993-94
E0,23/09/1995,Sheffield Weds,Norwich,3,3,D,,,,1993-94
E0,23/09/1995,Swindon,Man City,1,3,A,,,,1993-94
E0,23/09/1995,Tottenham,Chelsea,1,1,D,,,,1993-94
E0,23/09/1995,Arsenal,Ipswich,4,0,H,,,,1993-94
E0,23/09/1995,Aston Villa,Coventry,0,0,D,,,,1993-94
E0,24/09/1995,Chelsea,Man United,1,0,H,,,,1993-94
E0,25/09/1995,Man City,QPR,3,0,H,,,,1993-94
E0,30/09/1995,Norwich,Wimbledon,0,1,A,,,,1993-94
E0,30/09/1995,Oldham,Everton,0,1,A,,,,1993-94
E0,30/09/1995,Sheffield United,Tottenham,2,2,D,,,,1993-94
E0,30/09/1995,Southampton,Leeds,0,2,A,,,,1993-94
E0,30/09/1995,West Ham,Swindon,0,0,D,,,,1993-94
E0,30/09/1995,Liverpool,Blackburn,0,1,A,,,,1993-94
E0,30/09/1995,Newcastle,Sheffield Weds,4,2,H,,,,1993-94
E0,01/10/1995,Blackburn,West Ham,0,2,A,,,,1993-94
E0,01/10/1995,Coventry,Chelsea,1,1,D,,,,1993-94
E0,02/10/1995,Everton,Liverpool,2,0,H,,,,1993-94
E0,14/10/1995,Ipswich,Aston Villa,1,2,A,,,,1993-94
E0,14/10/1995,Leeds,Sheffield United,2,1,H,,,,1993-94
E0,14/10/1995,QPR,Norwich,2,2,D,,,,1993-94
E0,14/10/1995,Sheffield Weds,Southampton,2,0,H,,,,1993-94
E0,14/10/1995,Swindon,Newcastle,2,2,D,,,,1993-94
E0,14/10/1995,Tottenham,Oldham,5,0,H,,,,1993-94
E0,14/10/1995,Man United,Arsenal,1,0,H,,,,1993-94
E0,14/10/1995,Wimbledon,Man City,1,0,H,,,,1993-94
E0,15/10/1995,Arsenal,Southampton,1,0,H,,,,1993-94
E0,16/10/1995,Blackburn,Sheffield Weds,1,1,D,,,,1993-94
E0,21/10/1995,Chelsea,Liverpool,1,0,H,,,,1993-94
E0,21/10/1995,Coventry,Leeds,0,2,A,,,,1993-94
E0,21/10/1995,Everton,Norwich,1,5,A,,,,1993-94
E0,21/10/1995,Man United,Swindon,4,2,H,,,,1993-94
E0,21/10/1995,Newcastle,West Ham,2,0,H,,,,1993-94
E0,21/10/1995,Oldham,Aston Villa,1,1,D,,,,1993-94
E0,21/10/1995,Sheffield United,Man City,0,1,A,,,,1993-94
E0,21/10/1995,Ipswich,Tottenham,2,2,D,,,,1993-94
E0,22/10/1995,Wimbledon,QPR,1,1,D,,,,1993-94
E0,22/10/1995,Aston Villa,Newcastle,0,2,A,,,,1993-94
E0,28/10/1995,Leeds,Wimbledon,4,0,H,,,,1993-94
E0,28/10/1995,Liverpool,Arsenal,0,0,D,,,,1993-94
E0,28/10/1995,Norwich,Coventry,1,0,H,,,,1993-94
E0,28/10/1995,QPR,Ipswich,3,0,H,,,,1993-94
E0,28/10/1995,Sheffield Weds,Man United,2,3,A,,,,1993-94
E0,28/10/1995,Southampton,Sheffield United,3,3,D,,,,1993-94
E0,28/10/1995,Swindon,Blackburn,1,3,A,,,,1993-94
E0,28/10/1995,West Ham,Chelsea,1,0,H,,,,1993-94
E0,29/10/1995,Tottenham,Everton,3,2,H,,,,1993-94
E0,30/10/1995,Man City,Oldham,1,1,D,,,,1993-94
E0,04/11/1995,Arsenal,Man City,0,0,D,,,,1993-94
E0,04/11/1995,Chelsea,Norwich,1,2,A,,,,1993-94
E0,04/11/1995,Coventry,Southampton,1,1,D,,,,1993-94
E0,04/11/1995,Liverpool,Oldham,2,1,H,,,,1993-94
E0,04/11/1995,Man United,Tottenham,2,1,H,,,,1993-94
E0,04/11/1995,Newcastle,QPR,1,2,A,,,,1993-94
E0,04/11/1995,Sheffield Weds,Wimbledon,2,2,D,,,,1993-94
E0,04/11/1995,Swindon,Everton,1,1,D,,,,1993-94
E0,05/11/1995,West Ham,Aston Villa,0,0,D,,,,1993-94
E0,06/11/1995,Ipswich,Leeds,0,0,D,,,,1993-94
E0,08/11/1995,Blackburn,Sheffield United,0,0,D,,,,1993-94
E0,18/11/1995,Aston Villa,Chelsea,1,0,H,,,,1993-94
E0,18/11/1995,Everton,Man United,0,1,A,,,,1993-94
E0,18/11/1995,Leeds,Blackburn,3,3,D,,,,1993-94
E0,18/11/1995,Man City,Liverpool,1,1,D,,,,1993-94
E0,18/11/1995,Norwich,West Ham,0,0,D,,,,1993-94
E0,18/11/1995,Oldham,Arsenal,0,0,D,,,,1993-94
E0,18/11/1995,QPR,Coventry,5,1,H,,,,1993-94
E0,18/11/1995,Sheffield United,Sheffield Weds,1,1,D,,,,1993-94
E0,18/11/1995,Tottenham,Swindon,1,1,D,,,,1993-94
E0,19/11/1995,Southampton,Newcastle,2,1,H,,,,1993-94
E0,20/11/1995,Wimbledon,Ipswich,0,2,A,,,,1993-94
E0,21/11/1995,Arsenal,Norwich,0,0,D,,,,1993-94
E0,21/11/1995,Blackburn,Tottenham,1,0,H,,,,1993-94
E0,22/11/1995,Chelsea,Oldham,0,1,A,,,,1993-94
E0,22/11/1995,Ipswich,Everton,0,2,A,,,,1993-94
E0,22/11/1995,Liverpool,Southampton,4,2,H,,,,1993-94
E0,22/11/1995,Man United,QPR,2,1,H,,,,1993-94
E0,22/11/1995,Newcastle,Wimbledon,4,0,H,,,,1993-94
E0,25/11/1995,Sheffield Weds,Leeds,3,3,D,,,,1993-94
E0,25/11/1995,Swindon,Aston Villa,1,2,A,,,,1993-94
E0,25/11/1995,Coventry,Sheffield United,0,0,D,,,,1993-94
E0,25/11/1995,West Ham,Man City,3,1,H,,,,1993-94
E0,25/11/1995,Arsenal,Aston Villa,1,2,A,,,,1993-94
E0,25/11/1995,Coventry,Everton,2,1,H,,,,1993-94
E0,25/11/1995,Ipswich,Sheffield Weds,1,4,A,,,,1993-94
E0,25/11/1995,Leeds,Chelsea,4,1,H,,,,1993-94
E0,26/11/1995,Liverpool,West Ham,2,0,H,,,,1993-94
E0,27/11/1995,QPR,Blackburn,1,0,H,,,,1993-94
E0,02/12/1995,Sheffield United,Norwich,1,2,A,,,,1993-94
E0,02/12/1995,Southampton,Tottenham,1,0,H,,,,1993-94
E0,02/12/1995,Wimbledon,Swindon,3,0,H,,,,1993-94
E0,02/12/1995,Man City,Man United,2,3,A,,,,1993-94
E0,02/12/1995,Oldham,Newcastle,1,3,A,,,,1993-94
E0,02/12/1995,Aston Villa,Sheffield United,1,0,H,,,,1993-94
E0,02/12/1995,Blackburn,Southampton,2,0,H,,,,1993-94
E0,02/12/1995,Chelsea,Arsenal,0,2,A,,,,1993-94
E0,03/12/1995,Everton,QPR,0,3,A,,,,1993-94
E0,04/12/1995,Man United,Wimbledon,3,1,H,,,,1993-94
E0,09/12/1995,Norwich,Man City,1,1,D,,,,1993-94
E0,09/12/1995,Sheffield Weds,Coventry,0,0,D,,,,1993-94
E0,09/12/1995,Swindon,Ipswich,2,2,D,,,,1993-94
E0,09/12/1995,Tottenham,Leeds,1,1,D,,,,1993-94
E0,09/12/1995,West Ham,Oldham,2,0,H,,,,1993-94
E0,09/12/1995,Newcastle,Liverpool,3,0,H,,,,1993-94
E0,09/12/1995,Chelsea,Man City,0,0,D,,,,1993-94
E0,09/12/1995,Blackburn,Coventry,2,1,H,,,,1993-94
E0,10/12/1995,Everton,Leeds,1,1,D,,,,1993-94
E0,11/12/1995,Aston Villa,Southampton,0,2,A,,,,1993-94
E0,16/12/1995,Man United,Ipswich,0,0,D,,,,1993-94
E0,16/12/1995,Newcastle,Sheffield United,4,0,H,,,,1993-94
E0,16/12/1995,Sheffield Weds,Oldham,3,0,H,,,,1993-94
E0,16/12/1995,Swindon,QPR,1,0,H,,,,1993-94
E0,16/12/1995,Tottenham,Wimbledon,1,1,D,,,,1993-94
E0,16/12/1995,West Ham,Arsenal,0,0,D,,,,1993-94
E0,16/12/1995,Arsenal,Newcastle,2,1,H,,,,1993-94
E0,16/12/1995,Coventry,Man United,0,1,A,,,,1993-94
E0,17/12/1995,Ipswich,Blackburn,1,0,H,,,,1993-94
E0,18/12/1995,Leeds,Swindon,3,0,H,,,,1993-94
E0,23/12/1995,Man City,Sheffield Weds,1,3,A,,,,1993-94
E0,23/12/1995,Oldham,Norwich,2,1,H,,,,1993-94
E0,23/12/1995,QPR,Tottenham,1,1,D,,,,1993-94
E0,23/12/1995,Sheffield United,Chelsea,1,0,H,,,,1993-94
E0,23/12/1995,Wimbledon,Everton,1,1,D,,,,1993-94
E0,23/12/1995,Liverpool,Aston Villa,2,1,H,,,,1993-94
E0,23/12/1995,Southampton,West Ham,0,2,A,,,,1993-94
E0,23/12/1995,Coventry,Arsenal,1,0,H,,,,1993-94
E0,23/12/1995,Everton,Southampton,1,0,H,,,,1993-94
E0,24/12/1995,Ipswich,Oldham,0,0,D,,,,1993-94
E0,26/12/1995,Leeds,Man City,3,2,H,,,,1993-94
E0,26/12/1995,Man United,Norwich,2,2,D,,,,1993-94
E0,26/12/1995,QPR,Aston Villa,2,2,D,,,,1993-94
E0,26/12/1995,Sheffield Weds,Liverpool,3,1,H,,,,1993-94
E0,26/12/1995,Swindon,Sheffield United,0,0,D,,,,1993-94
E0,26/12/1995,Tottenham,Newcastle,1,2,A,,,,1993-94
E0,27/12/1995,Wimbledon,West Ham,1,2,A,,,,1993-94
E0,27/12/1995,Blackburn,Chelsea,2,0,H,,,,1993-94
E0,30/12/1995,Arsenal,Tottenham,1,1,D,,,,1993-94
E0,30/12/1995,Oldham,Swindon,2,1,H,,,,1993-94
E0,30/12/1995,Sheffield United,Man United,0,3,A,,,,1993-94
E0,30/12/1995,Aston Villa,Sheffield Weds,2,2,D,,,,1993-94
E0,30/12/1995,Liverpool,QPR,3,2,H,,,,1993-94
E0,30/12/1995,Man City,Everton,1,0,H,,,,1993-94
E0,30/12/1995,Southampton,Ipswich,0,1,A,,,,1993-94
E0,01/01/1996,West Ham,Leeds,0,1,A,,,,1993-94
E0,01/01/1996,Aston Villa,Wimbledon,0,1,A,,,,1993-94
E0,01/01/1996,Chelsea,Ipswich,1,1,D,,,,1993-94
E0,01/01/1996,Liverpool,Swindon,2,2,D,,,,1993-94
E0,01/01/1996,Man City,Tottenham,0,2,A,,,,1993-94
E0,01/01/1996,Newcastle,Man United,1,1,D,,,,1993-94
E0,01/01/1996,Oldham,Blackburn,1,2,A,,,,1993-94
E0,01/01/1996,Sheffield United,Everton,0,0,D,,,,1993-94
E0,02/01/1996,Southampton,QPR,0,1,A,,,,1993-94
E0,02/01/1996,West Ham,Coventry,3,2,H,,,,1993-94
E0,13/01/1996,Arsenal,Sheffield Weds,1,0,H,,,,1993-94
E0,13/01/1996,Norwich,Leeds,2,1,H,,,,1993-94
E0,13/01/1996,Blackburn,Man City,2,0,H,,,,1993-94
E0,13/01/1996,Coventry,Oldham,1,1,D,,,,1993-94
E0,13/01/1996,Everton,Newcastle,0,2,A,,,,1993-94
E0,13/01/1996,Ipswich,Norwich,2,1,H,,,,1993-94
E0,13/01/1996,Leeds,Arsenal,2,1,H,,,,1993-94
E0,13/01/1996,Sheffield Weds,West Ham,5,0,H,,,,1993-94
E0,13/01/1996,Swindon,Southampton,2,1,H,,,,1993-94
E0,14/01/1996,Tottenham,Liverpool,3,3,D,,,,1993-94
E0,20/01/1996,Wimbledon,Sheffield United,2,0,H,,,,1993-94
E0,20/01/1996,Man United,Aston Villa,3,1,H,,,,1993-94
E0,20/01/1996,Newcastle,Leeds,1,1,D,,,,1993-94
E0,20/01/1996,Man United,Blackburn,1,1,D,,,,1993-94
E0,20/01/1996,Sheffield United,Liverpool,0,0,D,,,,1993-94
E0,20/01/1996,Wimbledon,Coventry,1,2,A,,,,1993-94
E0,20/01/1996,Everton,Sheffield Weds,0,2,A,,,,1993-94
E0,20/01/1996,Ipswich,West Ham,1,1,D,,,,1993-94
E0,21/01/1996,QPR,Oldham,2,0,H,,,,1993-94
E0,23/01/1996,Southampton,Chelsea,3,1,H,,,,1993-94
E0,31/01/1996,Swindon,Arsenal,0,4,A,,,,1993-94
E0,31/01/1996,Tottenham,Norwich,1,3,A,,,,1993-94
E0,31/01/1996,Chelsea,Newcastle,1,0,H,,,,1993-94
E0,31/01/1996,Liverpool,Wimbledon,1,1,D,,,,1993-94
E0,03/02/1996,Man City,Southampton,1,1,D,,,,1993-94
E0,03/02/1996,West Ham,Tottenham,1,3,A,,,,1993-94
E0,03/02/1996,Arsenal,Sheffield United,3,0,H,,,,1993-94
E0,03/02/1996,Blackburn,Everton,2,0,H,,,,1993-94
E0,03/02/1996,Leeds,QPR,1,1,D,,,,1993-94
E0,03/02/1996,Norwich,Aston Villa,1,2,A,,,,1993-94
E0,03/02/1996,Oldham,Man United,2,5,A,,,,1993-94
E0,03/02/1996,Sheffield Weds,Swindon,3,3,D,,,,1993-94
E0,03/02/1996,Aston Villa,Blackburn,0,1,A,,,,1993-94
E0,04/02/1996,Everton,West Ham,0,1,A,,,,1993-94
E0,10/02/1996,Ipswich,Liverpool,1,2,A,,,,1993-94
E0,10/02/1996,Man United,Leeds,0,0,D,,,,1993-94
E0,10/02/1996,Newcastle,Man City,2,0,H,,,,1993-94
E0,10/02/1996,QPR,Sheffield Weds,1,2,A,,,,1993-94
E0,10/02/1996,Sheffield United,Oldham,2,1,H,,,,1993-94
E0,10/02/1996,Southampton,Norwich,0,1,A,,,,1993-94
E0,10/02/1996,Swindon,Chelsea,1,3,A,,,,1993-94
E0,11/02/1996,Tottenham,Coventry,1,2,A,,,,1993-94
E0,12/02/1996,Wimbledon,Arsenal,0,3,A,,,,1993-94
E0,17/02/1996,Arsenal,QPR,0,0,D,,,,1993-94
E0,17/02/1996,Chelsea,Everton,4,2,H,,,,1993-94
E0,17/02/1996,Coventry,Swindon,1,1,D,,,,1993-94
E0,21/02/1996,Sheffield Weds,Tottenham,1,0,H,,,,1993-94
E0,21/02/1996,West Ham,Sheffield United,0,0,D,,,,1993-94
E0,24/02/1996,Liverpool,Man United,3,3,D,,,,1993-94
E0,24/02/1996,Norwich,Newcastle,1,2,A,,,,1993-94
E0,24/02/1996,Aston Villa,West Ham,3,1,H,,,,1993-94
E0,24/02/1996,Everton,Swindon,6,2,H,,,,1993-94
E0,24/02/1996,Leeds,Ipswich,0,0,D,,,,1993-94
E0,24/02/1996,Man City,Arsenal,0,0,D,,,,1993-94
E0,24/02/1996,Norwich,Chelsea,1,1,D,,,,1993-94
E0,24/02/1996,Oldham,Liverpool,0,3,A,,,,1993-94
E0,25/02/1996,Sheffield United,Blackburn,1,2,A,,,,1993-94
E0,28/02/1996,Southampton,Coventry,1,0,H,,,,1993-94
E0,02/03/1996,Tottenham,Man United,0,1,A,,,,1993-94
E0,02/03/1996,Wimbledon,Sheffield Weds,2,1,H,,,,1993-94
E0,02/03/1996,QPR,Newcastle,1,2,A,,,,1993-94
E0,02/03/1996,Arsenal,Oldham,1,1,D,,,,1993-94
E0,02/03/1996,Chelsea,Aston Villa,1,1,D,,,,1993-94
E0,02/03/1996,Coventry,QPR,0,1,A,,,,1993-94
E0,02/03/1996,Ipswich,Wimbledon,0,0,D,,,,1993-94
E0,02/03/1996,Liverpool,Man City,2,1,H,,,,1993-94
E0,03/03/1996,Man United,Everton,1,0,H,,,,1993-94
E0,04/03/1996,Newcastle,Southampton,1,2,A,,,,1993-94
E0,05/03/1996,Sheffield Weds,Sheffield United,3,1,H,,,,1993-94
E0,06/03/1996,Swindon,Tottenham,2,1,H,,,,1993-94
E0,06/03/1996,Blackburn,Leeds,2,1,H,,,,1993-94
E0,09/03/1996,West Ham,Norwich,3,3,D,,,,1993-94
E0,09/03/1996,Coventry,Ipswich,1,0,H,,,,1993-94
E0,09/03/1996,Blackburn,Wimbledon,3,0,H,,,,1993-94
E0,12/03/1996,Everton,Chelsea,4,2,H,,,,1993-94
E0,13/03/1996,Man City,Ipswich,2,1,H,,,,1993-94
E0,13/03/1996,Norwich,Liverpool,2,2,D,,,,1993-94
E0,16/03/1996,Oldham,Southampton,2,1,H,,,,1993-94
E0,16/03/1996,QPR,Man United,2,3,A,,,,1993-94
E0,16/03/1996,Swindon,Coventry,3,1,H,,,,1993-94
E0,16/03/1996,Tottenham,Sheffield Weds,1,3,A,,,,1993-94
E0,16/03/1996,Aston Villa,Leeds,1,0,H,,,,1993-94
E0,16/03/1996,Aston Villa,Swindon,5,0,H,,,,1993-94
E0,16/03/1996,Everton,Ipswich,0,0,D,,,,1993-94
E0,16/03/1996,Man City,West Ham,0,0,D,,,,1993-94
E0,17/03/1996,Oldham,Chelsea,2,1,H,,,,1993-94
E0,18/03/1996,Sheffield United,Coventry,0,0,D,,,,1993-94
E0,19/03/1996,Tottenham,Blackburn,0,2,A,,,,1993-94
E0,20/03/1996,Wimbledon,Newcastle,4,2,H,,,,1993-94
E0,20/03/1996,Norwich,Arsenal,1,1,D,,,,1993-94
E0,20/03/1996,Southampton,Liverpool,4,2,H,,,,1993-94
E0,23/03/1996,Blackburn,Newcastle,1,0,H,,,,1993-94
E0,23/03/1996,Coventry,Man City,4,0,H,,,,1993-94
E0,23/03/1996,Everton,Arsenal,1,1,D,,,,1993-94
E0,23/03/1996,Leeds,Liverpool,2,0,H,,,,1993-94
E0,23/03/1996,Swindon,Norwich,3,3,D,,,,1993-94
E0,23/03/1996,Aston Villa,Man City,0,0,D,,,,1993-94
E0,24/03/1996,Norwich,Blackburn,2,2,D,,,,1993-94
E0,25/03/1996,Newcastle,Coventry,4,0,H,,,,1993-94
E0,30/03/1996,Arsenal,Blackburn,1,0,H,,,,1993-94
E0,30/03/1996,Ipswich,Sheffield United,3,2,H,,,,1993-94
E0,30/03/1996,Liverpool,Coventry,1,0,H,,,,1993-94
E0,30/03/1996,Man City,Swindon,2,1,H,,,,1993-94
E0,30/03/1996,Norwich,Sheffield Weds,1,1,D,,,,1993-94
E0,30/03/1996,Southampton,Wimbledon,1,0,H,,,,1993-94
E0,03/04/1996,West Ham,Man United,2,2,D,,,,1993-94
E0,03/04/1996,Chelsea,Tottenham,4,3,H,,,,1993-94
E0,05/04/1996,Oldham,Leeds,1,1,D,,,,1993-94
E0,06/04/1996,Tottenham,Aston Villa,1,1,D,,,,1993-94
E0,06/04/1996,Blackburn,Liverpool,2,0,H,,,,1993-94
E0,06/04/1996,Everton,Oldham,2,1,H,,,,1993-94
E0,06/04/1996,Ipswich,Arsenal,1,5,A,,,,1993-94
E0,06/04/1996,Leeds,Southampton,0,0,D,,,,1993-94
E0,06/04/1996,Man United,Chelsea,0,1,A,,,,1993-94
E0,06/04/1996,QPR,Man City,1,1,D,,,,1993-94
E0,06/04/1996,Sheffield Weds,Newcastle,0,1,A,,,,1993-94
E0,06/04/1996,Swindon,West Ham,1,1,D,,,,1993-94
E0,08/04/1996,Tottenham,Sheffield United,2,2,D,,,,1993-94
E0,08/04/1996,Wimbledon,Norwich,3,1,H,,,,1993-94
E0,08/04/1996,Coventry,Aston Villa,0,1,A,,,,1993-94
E0,08/04/1996,Aston Villa,Ipswich,0,1,A,,,,1993-94
E0,08/04/1996,Man City,Wimbledon,0,1,A,,,,1993-94
E0,08/04/1996,Newcastle,Swindon,7,1,H,,,,1993-94
E0,08/04/1996,Norwich,QPR,3,4,A,,,,1993-94
E0,08/04/1996,Southampton,Sheffield Weds,1,1,D,,,,1993-94
E0,08/04/1996,Liverpool,Everton,2,1,H,,,,1993-94
